PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Subject Count,Officer Count
FTN2016-0004,1/1/2016,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Rainy Conditions - Heavy,1,2
FTN2016-0001,1/1/2016,FOB - Field Operations Bureau,2nd District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,3
FTN2016-0003,1/1/2016,ISB - Investigation and Support Bureau,Criminal Investigations Division,Homicide Section,Squad E,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0005,1/2/2016,FOB - Field Operations Bureau,5th District,Narcotics,Narcotics,Regular Working,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,2
FTN2016-0007,1/4/2016,FOB - Field Operations Bureau,4th District,B Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,3
FTN2016-0008,1/4/2016,FOB - Field Operations Bureau,8th District,Unknown,Patrol,Regular Working,Between 3pm-11pm,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2016-0009,1/4/2016,FOB - Field Operations Bureau,1st District,Narcotics,Narcotics,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2016-0010,1/5/2016,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Unknown,Clear Conditions,1,1
FTN2016-0011,1/5/2016,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2016-0014,1/7/2016,FOB - Field Operations Bureau,1st District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,1,6
FTN2016-0013,1/7/2016,FOB - Field Operations Bureau,7th District,Night Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2016-0015,1/8/2016,FOB - Field Operations Bureau,1st District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,5
FTN2016-0016,1/8/2016,FOB - Field Operations Bureau,5th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,4
FTN2016-0017,1/9/2016,FOB - Field Operations Bureau,4th District,D.I.U.,Squad 1,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Other,1,2
FTN2016-0018,1/9/2016,FOB - Field Operations Bureau,4th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,2
FTN2016-0020,1/10/2016,FOB - Field Operations Bureau,Unknown,Unknown,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,4
FTN2016-0019,1/10/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Other,1,3
FTN2016-0022,1/11/2016,FOB - Field Operations Bureau,2nd District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,4
FTN2016-0024,1/11/2016,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2016-0021,1/11/2016,FOB - Field Operations Bureau,5th District,Unknown,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,2,3
FTN2016-0023,1/11/2016,FOB - Field Operations Bureau,1st District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,3
FTN2016-0029,1/13/2016,FOB - Field Operations Bureau,8th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2016-0028,1/13/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,13,3
FTN2016-0027,1/13/2016,PIB - Public Integrity Bureau,PIB,Force Investigation Team,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,1
FTN2016-0031,1/14/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2016-0030,1/14/2016,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2016-0034,1/15/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,1
FTN2016-0037,1/18/2016,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2016-0039,1/18/2016,FOB - Field Operations Bureau,8th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2016-0032,1/15/2016,FOB - Field Operations Bureau,6th District,C Platoon,Unknown,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,2
FTN2016-0041,1/19/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Clear Conditions,8,2
FTN2016-0045,1/20/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Poor,Foggy Condition,2,3
FTN2016-0036,1/18/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2016-0046,1/20/2016,FOB - Field Operations Bureau,4th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,1,4
FTN2016-0044,1/20/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown Assignment,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,1,2
FTN2016-0047,1/22/2016,FOB - Field Operations Bureau,3rd District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,3,2
FTN2016-0050,1/25/2016,FOB - Field Operations Bureau,5th District,Task Force,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Poor,Rainy Conditions - Light,1,1
FTN2016-0052,1/27/2016,FOB - Field Operations Bureau,5th District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Not Authorized,Arresting,Poor,Clear Conditions,1,1
FTN2016-0051,1/27/2016,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2016-0055,1/29/2016,FOB - Field Operations Bureau,3rd District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,2
FTN2016-0056,1/29/2016,FOB - Field Operations Bureau,6th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,2
FTN2016-0057,1/30/2016,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,4,2
FTN2016-0058,1/31/2016,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,2,2
FTN2016-0060,1/31/2016,FOB - Field Operations Bureau,6th District,Narcotics,Narcotics,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,3
FTN2016-0048,1/23/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1
FTN2016-0049,1/24/2016,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Unknown,1,4
FTN2016-0062,2/2/2016,FOB - Field Operations Bureau,4th District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Other,1,4
FTN2016-0066,2/2/2016,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,3,3
FTN2016-0063,2/2/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,2,2
FTN2016-0064,2/2/2016,FOB - Field Operations Bureau,1st District,D.I.U.,Property,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Unknown,Clear Conditions,2,1
FTN2016-0069,2/3/2016,FOB - Field Operations Bureau,5th District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,2,4
FTN2016-0067,2/3/2016,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2016-0072,2/5/2016,FOB - Field Operations Bureau,6th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,2
FTN2016-0073,2/6/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2016-0074,2/6/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2016-0078,2/7/2016,FOB - Field Operations Bureau,8th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0079,2/7/2016,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0077,2/7/2016,FOB - Field Operations Bureau,8th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2016-0075,2/7/2016,FOB - Field Operations Bureau,8th District,Narcotics,Narcotics,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,6
FTN2016-0065,2/3/2016,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,3
FTN2016-0084,2/8/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,4
FTN2016-0080,2/8/2016,FOB - Field Operations Bureau,5th District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2016-0071,2/5/2016,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1
FTN2016-0085,2/9/2016,FOB - Field Operations Bureau,5th District,Investigations,Staff,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,2
FTN2016-0083,2/9/2016,FOB - Field Operations Bureau,2nd District,D.I.U.,Staff,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2016-0087,2/10/2016,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,4,5
FTN2016-0089,2/11/2016,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0090,2/11/2016,FOB - Field Operations Bureau,5th District,Task Force,A,Regular Working,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,2
FTN2016-0088,2/11/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,2,1
FTN2016-0092,2/14/2016,FOB - Field Operations Bureau,2nd District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,2
FTN2016-0093,2/14/2016,FOB - Field Operations Bureau,7th District,Night Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0095,2/14/2016,FOB - Field Operations Bureau,7th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,1
FTN2016-0096,2/15/2016,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Rainy Conditions - Light,1,3
FTN2016-0099,2/15/2016,FOB - Field Operations Bureau,5th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,1,5
FTN2016-0086,2/9/2016,FOB - Field Operations Bureau,5th District,Task Force,A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,1
FTN2016-0100,2/16/2016,FOB - Field Operations Bureau,7th District,Night Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0101,2/16/2016,FOB - Field Operations Bureau,5th District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,4,1
FTN2016-0103,2/17/2016,FOB - Field Operations Bureau,7th District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,2,4
FTN2016-0102,2/17/2016,FOB - Field Operations Bureau,8th District,D.I.U.,Property,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2016-0104,2/19/2016,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0105,2/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2016-0107,2/21/2016,FOB - Field Operations Bureau,2nd District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Other,1,1
FTN2016-0108,2/21/2016,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2016-0150,2/14/2016,FOB - Field Operations Bureau,3rd District,Task Force,A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1
FTN2016-0106,2/21/2016,FOB - Field Operations Bureau,7th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,1,2
FTN2016-0111,2/22/2016,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,1
FTN2016-0113,2/22/2016,FOB - Field Operations Bureau,3rd District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,1,1
FTN2016-0110,2/22/2016,FOB - Field Operations Bureau,8th District,Crime Prevention/Quality of Life,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,5
FTN2016-0116,2/24/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown Assignment,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,1,2
FTN2016-0117,2/26/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0119,2/29/2016,ISB - Investigation and Support Bureau,Special Investigations Division,Court Liaison,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Unknown,1,1
FTN2016-0118,2/29/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,4,2
FTN2016-0002,3/1/2016,FOB - Field Operations Bureau,1st District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Rainy Conditions - Light,1,1
FTN2016-0120,3/1/2016,FOB - Field Operations Bureau,5th District,Narcotics,Unknown,Regular Working,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,2
FTN2016-0121,3/2/2016,FOB - Field Operations Bureau,6th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2016-0122,3/2/2016,FOB - Field Operations Bureau,2nd District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,2,3
FTN2016-0124,3/3/2016,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,6
FTN2016-0109,2/21/2016,FOB - Field Operations Bureau,5th District,Narcotics,Unknown,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,1,1
FTN2016-0134,3/6/2016,FOB - Field Operations Bureau,2nd District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,4,1
FTN2016-0135,3/6/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,2
FTN2016-0125,3/6/2016,FOB - Field Operations Bureau,6th District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,1
FTN2016-0136,3/7/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,2,2
FTN2016-0131,3/8/2016,FOB - Field Operations Bureau,8th District,Day Watch,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,2,2
FTN2016-0129,3/8/2016,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2016-0132,3/8/2016,FOB - Field Operations Bureau,3rd District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,4,3
FTN2016-0115,2/24/2016,FOB - Field Operations Bureau,7th District,Evening Watch,Unknown,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,1,1
FTN2016-0128,3/8/2016,FOB - Field Operations Bureau,6th District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,2
FTN2016-0137,3/9/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,1,1
FTN2016-0138,3/9/2016,FOB - Field Operations Bureau,4th District,Task Force,B,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2016-0139,3/9/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,Unknown,Unknown,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,3,2
FTN2016-0140,3/10/2016,FOB - Field Operations Bureau,4th District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Other,1,1
FTN2016-0141,3/10/2016,FOB - Field Operations Bureau,4th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,1,1
FTN2016-0142,3/11/2016,FOB - Field Operations Bureau,4th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,4
FTN2016-0143,3/11/2016,FOB - Field Operations Bureau,8th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,3
FTN2016-0144,3/12/2016,FOB - Field Operations Bureau,4th District,A Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Other,1,2
FTN2016-0145,3/12/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,2
FTN2016-0146,3/12/2016,FOB - Field Operations Bureau,8th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Other,2,2
FTN2016-0148,3/13/2016,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Other,1,2
FTN2016-0149,3/14/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,Regular Working,Unknown,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,3,2
FTN2016-0153,3/15/2016,FOB - Field Operations Bureau,5th District,Narcotics,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Rainy Conditions - Light,1,1
FTN2016-0152,3/16/2016,FOB - Field Operations Bureau,5th District,Narcotics,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,2,3
FTN2016-0154,3/17/2016,FOB - Field Operations Bureau,3rd District,C Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Poor,Clear Conditions,1,2
FTN2016-0157,3/17/2016,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,1,1
FTN2016-0156,3/17/2016,FOB - Field Operations Bureau,6th District,A Platoon,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,5
FTN2016-0160,3/20/2016,FOB - Field Operations Bureau,4th District,Task Force,A,Unknown,Unknown,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,5
FTN2016-0161,3/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,3
FTN2016-0162,3/20/2016,FOB - Field Operations Bureau,7th District,Day Watch,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,1,1
FTN2016-0163,3/21/2016,MSB - Management Services Bureau,Administrative Duties Division,Extended Sick,Patrol,Unknown,Unknown,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,1,1
FTN2016-0164,3/22/2016,FOB - Field Operations Bureau,5th District,B Platoon,Unknown,Unknown,Unknown,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,1,4
