PIB File Number,Use of Force Type,Use of Force Level,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Officer Injured
FTN2024-0085,Force (Take Down),L2,Yes,Black,Male,Unknown,Unknown,No
FTN2024-0085,Other,L2,Yes,Black,Male,Unknown,Unknown,No
FTN2016-0648,CEW Exhibited/Laser,L1,Yes,White,Male,Unknown,Unknown,No
FTN2017-0554,Force (Take Down),L2,Yes,White,Male,27,Unknown,No
FTN2017-0203,Force (Escort Tech),L1,Yes,White,Male,27,Unknown,No
FTN2017-0178,Firearm (Exhibited),L1,Yes,White,Male,27,Unknown,No
FTN2018-0285,Hands,L1,Yes,White,Male,28,Unknown,No
FTN2018-0429,Firearm (Exhibited),L1,Yes,White,Male,28,Unknown,No
FTN2018-0168,Hands,L1,Yes,White,Male,28,Unknown,No
FTN2018-0372,Firearm (Exhibited),L1,Yes,White,Male,28,Unknown,No
FTN2019-0108,Vehicle,L4,Yes,White,Male,29,Unknown,No
FTN2019-0080,Force (Take Down),L2,Yes,White,Male,29,Unknown,No
FTN2019-0061,Takedown (w/injury),L2,No,White,Male,29,Unknown,No
FTN2016-0527,Force (Take Down),L2,Yes,Black,Male,33,Unknown,Yes
FTN2016-0324,Firearm (Exhibited),L1,Yes,Black,Male,33,Unknown,No
FTN2017-0025,Force (Take Down),L2,Yes,Black,Male,34,Unknown,Yes
FTN2024-0188,Firearm (Exhibited),L1,Yes,Black,Male,24,0,No
FTN2024-0080,Firearm (Exhibited),L1,Yes,Black,Male,24,0,No
FTN2024-0187,Hands,L1,Yes,White,Male,24,0,No
FTN2024-0156,Hands,L1,Yes,Black,Male,24,0,No
FTN2024-0156,Takedown (w/injury),L2,Yes,Black,Male,24,0,No
FTN2022-0386,Hands,L1,No,White,Female,27,0,No
FTN2022-0361,Firearm (Exhibited),L1,Yes,White,Female,27,0,No
FTN2022-0362,Hands,L1,No,White,Female,27,0,No
FTN2022-0377,Hands,L1,Yes,White,Female,27,0,No
FTN2018-0336,Takedown (no injury),L1,Yes,Black,Female,28,0,No
FTN2023-0090,Other,L1,Yes,White,Female,28,0,Yes
FTN2018-0099,Firearm (Exhibited),L1,Yes,Black,Female,28,0,No
FTN2023-0246,Firearm (Exhibited),L1,Yes,White,Female,28,0,No
FTN2023-0523,Hands,L1,Yes,White,Female,28,0,No
FTN2024-0139,Hands,L1,Yes,Black,Male,29,0,No
FTN2024-0121,Hands,L1,Yes,White,Female,29,0,No
FTN2018-0445,Firearm (Exhibited),L1,Yes,Black,Male,31,0,No
