PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Number of Officers,Number of Subjects,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2017-0174,4/4/2017,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,1,1,Force (Take Down),L2,Unknown,Yes,White,Male,42,25,0 feet to 1 feet,Male,Black,29,Small,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2017-0076,2/12/2017,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,2,1,Force (Take Down) | Force (Take Down),L2 | L2,Alchohol,Yes | Yes,White | Black,Male | Male,34 | 27,8 | 9,0 feet to 1 feet,Male,Black,31,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,Yes | No
FTN2017-0103,2/25/2017,ISB - Investigation and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,,,Suspended,Pending,Arresting,Good,Clear Conditions,4,1,Hands | Hands | Hands | Head Strike (No Wep),L1 | L1 | L1 | L3,Alchohol,Yes | Yes | Yes | No,Black | Black | Black | Black,Male | Male | Male | Male,38 | 34 | 38 | 38,16 | 16 | 19 | 19,0 feet to 1 feet,Male,Black,26,Medium,> 6'3'',No,No,Yes,,Battery on Police Officer,No | No | No | No
FTN2018-0231,6/21/2018,FOB - Field Operations Bureau,5th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,4,1,Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech) | Hands,L1 | L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes,White | White | White | White,Male | Male | Male | Male,42 | 26 | 40 | 40,22 | 8 | 6 | 6,1 feet to 3 feet,Female,White,28,Medium,5'0'' to 5'3'',No,Yes,No,,Refusal of Verbal Commands,No | No | No | No
FTN2021-0103,4/8/2021,FOB - Field Operations Bureau,6th District,,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,2,2,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected | None detected,No | Yes,Black | Black,Male | Male,41 | 33,19 | 11,4 feet to 6 feet | 4 feet to 6 feet,Male | Female,Black | Black,59 | 24,Medium | Medium,6'1'' to 6'3'' | 6'1'' to 6'3'',No | No,No | No,Yes | Yes,,Tactical Deployments,No | No
FTN2016-0303,6/10/2016,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Hands | Force (Take Down),L1 | L2,None detected,No | Yes,Black | Black,Male | Male,36 | 36,19 | 19,0 feet to 1 feet,Male,Black,17,Small,5'4'' to 5'6'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes | Yes
FTN2021-0086,3/23/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Rainy Conditions - Heavy,1,1,Takedown (w/injury),L2,Mentally unstable,Yes,White,Male,22,4,0 feet to 1 feet,Male,White,34,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2020-0159,6/1/2020,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Arresting,Poor,Clear Conditions,2,1,CEW | Hands,L4 | L1,Alchohol,Yes | No,Black | Black,Male | Male,58 | 23,34 | 4,1 feet to 3 feet,Male,Hispanic,34,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No | Yes
FTN2019-0190,5/25/2019,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,,,1,1,Force (Take Down),L2,Unknown,Yes,White,Male,33,9,0 feet to 1 feet,Female,Black,23,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,Yes
FTN2017-0595,11/21/2017,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,3,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected,Yes | Yes | Yes,White | Black | Black,Male | Male | Male,27 | 25 | 27,9 | 9 | 8,7 feet to 10 feet,Male,Black,24,Small,5'10'' to 6'0'',No,No,Yes,,Refusal of Verbal Commands,No | No | No
