PIB File Number,Subject Influencing Factors,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested
FTN2017-0174,Unknown,0 feet to 1 feet,Male,Black,29,Small,5'7'' to 5'9'',No,No,Yes
FTN2017-0076,Alchohol,0 feet to 1 feet,Male,Black,31,Medium,5'10'' to 6'0'',No,No,Yes
FTN2017-0103,Alchohol,0 feet to 1 feet,Male,Black,26,Medium,> 6'3'',No,No,Yes
FTN2018-0231,Mentally unstable,1 feet to 3 feet,Female,White,28,Medium,5'0'' to 5'3'',No,Yes,No
FTN2021-0103,None detected ,4 feet to 6 feet ,Male ,Black ,59 ,Medium ,6'1'' to 6'3'' ,No ,No ,Yes 
FTN2021-0103, None detected, 4 feet to 6 feet, Female, Black, 24, Medium, 6'1'' to 6'3'', No, No, Yes
FTN2016-0303,None detected,0 feet to 1 feet,Male,Black,17,Small,5'4'' to 5'6'',Yes,Yes,Yes
FTN2021-0086,Mentally unstable,0 feet to 1 feet,Male,White,34,Medium,5'7'' to 5'9'',Yes,Yes,Yes
FTN2020-0159,Alchohol,1 feet to 3 feet,Male,Hispanic,34,Medium,6'1'' to 6'3'',No,Yes,Yes
FTN2019-0190,Unknown,0 feet to 1 feet,Female,Black,23,Small,5'7'' to 5'9'',Yes,Yes,Yes
FTN2017-0595,None detected,7 feet to 10 feet,Male,Black,24,Small,5'10'' to 6'0'',No,No,Yes
FTN2017-0336,None detected,0 feet to 1 feet,Male,Black,17,Small,6'1'' to 6'3'',No,No,Yes
FTN2017-0408,Unknown Drugs,0 feet to 1 feet,Male,White,25,Small,5'7'' to 5'9'',Yes,Yes,No
FTN2020-0241,Unknown,4 feet to 6 feet,Male,Black,56,Medium,5'4'' to 5'6'',No,Yes,Yes
FTN2024-0096,Mentally unstable,*Direct Contact,Male,Black,32,Medium,5'10'' to 6'0'',No,Yes,No
FTN2018-0009,Alchohol,0 feet to 1 feet,Male,White,25,Small,6'1'' to 6'3'',Yes,Yes,Yes
FTN2017-0266,Unknown,1 feet to 3 feet,Male,White,Unknown,Medium,5'10'' to 6'0'',No,No,No
FTN2017-0492,None detected,1 feet to 3 feet,Male,Black,19,Medium,5'10'' to 6'0'',No,No,Yes
FTN2019-0103,Unknown,0 feet to 1 feet,Male,Black,44,XLarge,5'0'' to 5'3'',Yes,Yes,Yes
FTN2023-0413,Unknown,*Direct Contact,Male,Black,54,Medium,5'10'' to 6'0'',No,Yes,Yes
FTN2023-0495,Mentally unstable,11 feet to 14 feet,Male,Black,Unknown,Medium,5'7'' to 5'9'',No,Yes,Yes
FTN2017-0562,Alchohol,0 feet to 1 feet,Male,White,31,Medium,6'1'' to 6'3'',No,No,No
FTN2019-0028,Unknown,1 feet to 3 feet,Male,Black,36,Small,5'10'' to 6'0'',No,No,Yes
FTN2024-0210,Alchohol and unknown drugs,*Direct Contact,Male,Black,25,Medium,6'1'' to 6'3'',No,Yes,Yes
FTN2020-0225,Mentally unstable,0 feet to 1 feet,Female,Black,65,Medium,5'4'' to 5'6'',Yes,Yes,Yes
FTN2020-0246,None detected,7 feet to 10 feet,Male,Black,18,Medium,5'7'' to 5'9'',No,No,No
FTN2019-0174,Unknown,7 feet to 10 feet,Male,Black,52,Medium,5'10'' to 6'0'',No,No,No
FTN2017-0321,Unknown,0 feet to 1 feet,Male,White,38,Medium,5'7'' to 5'9'',No,No,Yes
FTN2021-0329,Unknown,11 feet to 14 feet,Male,Black,20,Small,> 6'3'',No,No,No
FTN2017-0019,None detected,7 feet to 10 feet,Male,Black,31,Medium,5'7'' to 5'9'',No,No,Yes
FTN2019-0095,Unknown,1 feet to 3 feet,Male,Black,42,Medium,5'7'' to 5'9'',No,No,Yes
FTN2017-0088,None detected ,0 feet to 1 feet ,Male ,Black ,19 ,Large ,5'10'' to 6'0'' ,No ,No ,Yes 
